ime,cena
Tea - Black Currant,"€2,66"
Mayonnaise,"€3,10"
Appetiser - Bought,"€3,33"
"Pepper - Paprika, Hungarian","€4,42"
Wine - Pinot Noir Latour,"€2,59"
Swordfish Loin Portions,"€4,29"
Sprouts - Bean,"€0,55"
Soup Campbells Beef With Veg,"€1,78"
Island Oasis - Wildberry,"€0,21"
Hagen Daza - Dk Choocolate,"€3,62"
Cup - 4oz Translucent,"€3,63"
Cookie - Oatmeal,"€1,81"
Tea - Lemon Scented,"€1,75"
"Nut - Walnut, Pieces","€1,73"
Burger Veggie,"€1,17"
Lettuce - Romaine,"€2,14"
Compound - Pear,"€2,13"
Water - Aquafina Vitamin,"€3,74"
"Sprite, Diet - 355ml","€2,21"
Energy Drink - Franks Original,"€1,56"
Wine - Jaboulet Cotes Du Rhone,"€3,37"
Bread Bowl Plain,"€1,89"
Soup - Campbells Bean Medley,"€2,23"
Tart - Lemon,"€2,49"
Spice - Paprika,"€2,28"
Cranberry Foccacia,"€2,02"
"Wine - White, Pelee Island","€2,69"
Lettuce - Arugula,"€1,88"
"Pepper - Black, Whole","€0,72"
Shark - Loin,"€0,16"
"Cherries - Bing, Canned","€4,32"
Cookie Dough - Chocolate Chip,"€4,06"
Galliano,"€1,44"
Wiberg Super Cure,"€2,34"
Chocolate - Compound Coating,"€2,09"
Wine - White Cab Sauv.on,"€3,64"
Pastry - Baked Cinnamon Stick,"€2,26"
Eel - Smoked,"€3,10"
Ice Cream Bar - Oreo Sandwich,"€0,16"
"Capon - Breast, Double, Wing On","€2,38"
"Soup - Knorr, Country Bean","€4,71"
Brandy Apricot,"€4,18"
Jam - Raspberry,"€4,31"
Cheese - Augre Des Champs,"€4,01"
"Basil - Primerba, Paste","€0,19"
"Fish - Halibut, Cold Smoked","€4,72"
Cookies - Englishbay Oatmeal,"€4,67"
Table Cloth 54x72 Colour,"€4,36"
Lotus Rootlets - Canned,"€2,86"
Rappini - Andy Boy,"€1,81"
Ecolab - Power Fusion,"€1,05"
"Coconut - Creamed, Pure","€2,15"
Veal - Ground,"€0,59"
"Water - Mineral, Carbonated","€0,74"
Table Cloth 72x144 White,"€0,53"
Mushroom - White Button,"€0,57"
Shrimp - Black Tiger 26/30,"€2,85"
"Wine - White, Pinot Grigio","€4,23"
"Bread - Rolls, Rye","€0,84"
Wine - Sicilia Igt Nero Avola,"€4,77"
Cup - 4oz Translucent,"€1,86"
"Juice - Tomato, 48 Oz","€3,62"
Wine - Pinot Grigio Collavini,"€1,06"
"Tart Shells - Savory, 3","€1,28"
Capon - Whole,"€0,47"
Vinegar - Champagne,"€1,75"
Boogies,"€3,70"
Mussels - Cultivated,"€4,15"
Soup - Campbells Beef Strogonoff,"€0,67"
Milkettes - 2%,"€0,48"
Ice Cream - Fudge Bars,"€2,84"
"Iced Tea - Lemon, 340ml","€2,65"
Wine - Cotes Du Rhone Parallele,"€1,86"
Flour - Bread,"€0,31"
"Crush - Grape, 355 Ml","€2,80"
Food Colouring - Blue,"€0,42"
Tamarillo,"€4,08"
Appetizer - Southwestern,"€4,28"
Sage - Ground,"€3,90"
"Nut - Pistachio, Shelled","€0,94"
Curry Powder,"€0,60"
Cabbage Roll,"€0,68"
Beer - Guiness,"€4,48"
Potatoes - Yukon Gold 5 Oz,"€2,48"
"Rum - Coconut, Malibu","€2,53"
Devonshire Cream,"€4,51"
Wine - Toasted Head,"€1,60"
"Bread - Multigrain, Loaf","€1,05"
Carbonated Water - Strawberry,"€2,40"
"Water, Tap","€1,92"
Cheese - Cream Cheese,"€0,08"
"Beans - Turtle, Black, Dry","€1,32"
Aspic - Amber,"€1,72"
"Vodka - Hot, Lnferno","€3,69"
Bread - Frozen Basket Variety,"€3,97"
Pumpkin,"€4,72"
Sole - Fillet,"€1,95"
Soap - Hand Soap,"€2,33"
Pepper - Cayenne,"€1,91"
"Turkey - Breast, Boneless Sk On","€2,12"
Butter Ripple - Phillips,"€1,33"
Salt - Celery,"€4,84"
"Bread - Bagels, Mini","€3,83"
Foil Cont Round,"€3,12"
Pie Filling - Apple,"€0,61"
"Sugar - Brown, Individual","€0,12"
Pepper - Red Thai,"€0,92"
Chocolate - Milk Coating,"€2,24"
Quail - Jumbo,"€4,15"
Dish Towel,"€2,76"
"Veal - Shank, Pieces","€2,88"
"Pepsi, 355 Ml","€4,63"
Coconut Milk - Unsweetened,"€4,22"
Yeast Dry - Fleischman,"€1,67"
Appetiser - Bought,"€4,61"
Vinegar - Red Wine,"€4,79"
Pepperoni Slices,"€2,90"
"Crab - Claws, Snow 16 - 24","€2,08"
Lighter - Bbq,"€3,62"
Cheese - Parmesan Grated,"€0,31"
Wine - Magnotta - Cab Franc,"€1,44"
Skirt - 29 Foot,"€0,41"
Compound - Pear,"€4,24"
Remy Red Berry Infusion,"€0,09"
"Shrimp, Dried, Small / Lb","€4,87"
Wine - Touraine Azay - Le - Rideau,"€0,63"
"Club Soda - Schweppes, 355 Ml","€0,43"
"Trout - Rainbow, Frozen","€4,61"
Danishes - Mini Cheese,"€1,01"
"Vermacelli - Sprinkles, Assorted","€1,60"
"Nut - Walnut, Pieces","€0,16"
Soup - Campbells - Chicken Noodle,"€3,39"
Zucchini - Green,"€3,94"
Olive - Spread Tapenade,"€3,66"
Wine - Ruffino Chianti Classico,"€0,40"
"Marjoram - Dried, Rubbed","€1,74"
Tumeric,"€1,10"
Dasheen,"€0,39"
Juice - Orangina,"€2,72"
"Lid - Translucent, 3.5 And 6 Oz","€4,78"
"Wine - Red, Metus Rose","€0,86"
Bag - Regular Kraft 20 Lb,"€1,06"
Cod - Black Whole Fillet,"€0,26"
"Fish - Atlantic Salmon, Cold","€1,55"
"Pepper - Red, Finger Hot","€4,21"
Baking Soda,"€1,24"
Sole - Fillet,"€3,95"
Tahini Paste,"€4,94"
Cognac - Courvaisier,"€1,46"
Lamb - Loin Chops,"€0,11"
Chicken Thigh - Bone Out,"€0,00"
Lid - 3oz Med Rec,"€4,23"
Wine - Valpolicella Masi,"€4,13"
Spinach - Baby,"€4,49"
Cleaner - Bleach,"€1,87"
Cheese Cloth,"€3,80"
Truffle Shells - Semi - Sweet,"€0,84"
Cocktail Napkin Blue,"€0,27"
Cheese - Bakers Cream Cheese,"€0,04"
Veal - Eye Of Round,"€0,21"
Lettuce - Red Leaf,"€3,99"
Milkettes - 2%,"€2,56"
Bread - Rosemary Focaccia,"€4,24"
Pastry - Cheese Baked Scones,"€0,80"
Arizona - Plum Green Tea,"€3,02"
"Loaf Pan - 2 Lb, Foil","€4,89"
"Rum - White, Gg White","€1,35"
Cod - Fillets,"€3,49"
Buffalo - Short Rib Fresh,"€3,71"
Crush - Cream Soda,"€0,69"
Puree - Blackcurrant,"€4,58"
Wine - Trimbach Pinot Blanc,"€4,91"
"Soup - Campbells, Minestrone","€2,74"
Wine - Chenin Blanc K.w.v.,"€4,30"
Soup Bowl Clear 8oz92008,"€0,31"
Piping Jelly - All Colours,"€2,69"
Bread - Wheat Baguette,"€2,17"
Apple - Macintosh,"€0,33"
Cornstarch,"€4,91"
Yucca,"€3,39"
Sausage - Liver,"€3,83"
Butcher Twine 4r,"€0,79"
Vinegar - White Wine,"€4,49"
Spic And Span All Purpose,"€2,48"
Vanilla Beans,"€1,85"
Mussels - Cultivated,"€4,19"
Pepper - Gypsy Pepper,"€4,25"
Wakami Seaweed,"€2,96"
Pork - Backs - Boneless,"€4,77"
Bagel - Sesame Seed Presliced,"€2,42"
Salmon Steak - Cohoe 6 Oz,"€0,79"
Milkettes - 2%,"€4,30"
Blueberries - Frozen,"€3,45"
Ginsing - Fresh,"€2,39"
Cheese - Ricotta,"€2,95"
Sobe - Liz Blizz,"€4,66"
Steel Wool S.o.s,"€1,49"
Flavouring - Rum,"€3,92"
Chocolate - Dark Callets,"€1,40"
"Cookies - Oreo, 4 Pack","€3,01"
Pasta - Canelloni,"€3,83"
"Juice - Grapefruit, 341 Ml","€4,26"
Magnotta - Bel Paese White,"€1,01"
"Asparagus - White, Canned","€4,21"
Wine - Jackson Triggs Okonagan,"€2,50"
"Rum - Cream, Amarula","€3,27"
Lobak,"€1,48"
Bagel - Everything,"€4,34"
Marzipan 50/50,"€4,87"
Pie Shell - 5,"€3,36"
Pepper - Chilli Seeds Mild,"€1,21"
Parasol Pick Stir Stick,"€0,76"
Sauce - Alfredo,"€1,97"
Ecolab - Solid Fusion,"€2,12"
Container - Foam Dixie 12 Oz,"€3,38"
Rice - 7 Grain Blend,"€3,60"
Tomato Puree,"€1,83"
Bar Energy Chocchip,"€4,72"
"Shrimp - 16 - 20 Cooked, Peeled","€1,58"
Soup - Campbells Chicken,"€1,48"
Butter - Unsalted,"€2,58"
Sobe - Green Tea,"€0,02"
Chickensplit Half,"€4,36"
Beef - Shank,"€2,97"
Sherry - Dry,"€1,58"
Sponge Cake Mix - Chocolate,"€1,52"
Tea - Honey Green Tea,"€0,78"
"Lentils - Red, Dry","€3,60"
Napkin - Beverage 1 Ply,"€1,99"
Pepper - Gypsy Pepper,"€1,98"
Wine - Chardonnay South,"€2,68"
"Oil - Truffle, White","€4,09"
"Orange - Canned, Mandarin","€0,36"
"Cheese - Woolwich Goat, Log","€3,81"
Veal - Knuckle,"€4,93"
Oneshot Automatic Soap System,"€2,59"
Pear - Packum,"€3,46"
Veal - Provimi Inside,"€0,54"
"Sauce - Soya, Light","€1,33"
Chicken Giblets,"€4,74"
Waffle Stix,"€0,65"
Appetizer - Veg Assortment,"€2,91"
Carbonated Water - Cherry,"€4,97"
"Pork - Ham, Virginia","€3,70"
Brandy - Bar,"€2,57"
Tea - Decaf 1 Cup,"€3,46"
"Mushroom - Enoki, Fresh","€3,60"
Daves Island Stinger,"€2,50"
Container Clear 8 Oz,"€4,40"
Cardamon Ground,"€0,77"
Kaffir Lime Leaves,"€4,94"
Cheese Cloth No 60,"€0,33"
"Nut - Pine Nuts, Whole","€1,33"
Horseradish - Prepared,"€2,73"
Truffle - Whole Black Peeled,"€4,98"
Apricots Fresh,"€3,36"
Jicama,"€4,05"
Scallops - U - 10,"€2,69"
Salmon Steak - Cohoe 6 Oz,"€4,05"
Ice Cream - Chocolate,"€1,23"
Salmon Atl.whole 8 - 10 Lb,"€1,25"
Butter Ripple - Phillips,"€2,63"
Soup - Campbells,"€0,02"
Vinegar - Cider,"€0,52"
Duck - Whole,"€3,28"
Wine - Zinfandel California 2002,"€4,95"
Lobster - Tail 6 Oz,"€3,91"
"Pasta - Fett Alfredo, Single Serve","€0,55"
Beans - Soya Bean,"€3,33"
Beef Striploin Aaa,"€5,00"
Russian Prince,"€0,75"
Cheese - Sheep Milk,"€2,23"
Muffin - Carrot Individual Wrap,"€4,11"
Cheese - Comte,"€1,28"
Wine - Pinot Noir Pond Haddock,"€2,12"
Clam - Cherrystone,"€2,99"
"Bread - Rolls, Corn","€1,07"
Ice Cream Bar - Hageen Daz To,"€0,18"
Oranges,"€4,82"
Wine - Balbach Riverside,"€3,81"
"Carrots - Mini, Stem On","€3,83"
"Wine - White, Schroder And Schyl","€3,38"
Puree - Kiwi,"€4,63"
"Soup - Knorr, Country Bean","€0,12"
Mushroom - White Button,"€4,62"
Compound - Raspberry,"€2,60"
Glaze - Apricot,"€0,34"
Mayonnaise,"€1,26"
Crab - Imitation Flakes,"€3,99"
